label,y,x,flowering,full_bloom
Sapporo,43.066666,141.350006,2024-04-18,2024-04-24
Aomori,40.818084,140.750081,2024-04-15,2024-04-18
Sendai,38.257584,140.877539,2024-04-02,2024-04-09
Tokyo,35.683305,139.766305,2024-03-29,2024-04-04
Kanazawa,36.587928,136.655894,2024-04-01,2024-04-08
Nagano,36.645705,138.211091,2024-04-08,2024-04-13
Nagoya,35.142960,136.913468,2024-03-28,20024-04-07
Kyoto,34.996709,135.753324,2024-03-29,2024-04-05
Osaka,34.659781,135.505260,2024-03-30,2024-04-06
Wakayama,34.227272,135.179830,2024-03-30,2024-04-03
Hiroshima,34.389064,132.450752,2024-03-25,2024-04-05
Kochi,33.559254,133.529037,2024-03-23,2024-03-31
Fukuoka,33.566276,130.362146,2024-03-27,2024-04-02
Kagoshima,31.576845,130.553363,2024-03-29,2024-04-12